date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-11-18,50.2219,51.1506,50.2029,51.0274,29710030,29710030,0.833872,1.661,50.7021,"Nov 18, 15",1.0240374126858833
2015-11-19,51.1601,51.7949,50.962,51.1127,28149228,28149228,0.085286,0.167,51.4137,"Nov 19, 15",1.0274208966827576
2015-11-20,51.4064,51.4538,50.4731,51.3496,37147608,37147608,0.236895,0.463,51.0639,"Nov 20, 15",1.0368177004208532
2015-11-23,51.4064,51.6054,50.9326,51.3496,28235918,28235918,0,0,51.2883,"Nov 23, 15",1.0368177004208532
2015-11-24,51.0937,51.5865,50.7715,51.4064,24600043,24600043,0.056854,0.111,51.2587,"Nov 24, 15",1.0390707120389358
2015-11-25,51.2548,51.3875,50.8758,50.8758,21005147,21005147,-0.530646,-1.032,51.1295,"Nov 25, 15",1.0180240929446625
2015-11-27,50.98,51.2453,50.9705,51.1032,9009132,9009132,0.227419,0.447,51.1151,"Nov 27, 15",1.027044072556494
2015-11-30,51.6812,52.0792,51.1694,51.5012,56241417,56241417,0.397986,0.779,51.6227,"Nov 30, 15",1.042831020162074
2015-12-01,51.558,52.3351,51.4538,52.3256,39952779,39952779,0.824397,1.601,51.992,"Dec 1, 15",1.075531421182276
2015-12-02,52.4203,53.0268,52.174,52.3161,47274879,47274879,-0.009476,-0.018,52.5765,"Dec 2, 15",1.075154597056012
2015-12-03,52.5814,52.8468,51.1032,51.3591,38627835,38627835,-0.957058,-1.829,51.6216,"Dec 3, 15",1.0371945245471168
2015-12-04,51.2832,53.2826,51.2643,52.9794,43963662,43963662,1.6204,3.155,52.621,"Dec 4, 15",1.1014648542087289
2015-12-07,52.8657,53.0363,52.3919,52.8847,30709765,30709765,-0.09476,-0.179,52.7071,"Dec 7, 15",1.097708512655341
2015-12-08,52.5625,53.1595,52.1076,52.8657,32878026,32878026,-0.018953,-0.036,52.7699,"Dec 8, 15",1.096954864402813
2015-12-09,52.4677,52.9415,51.6528,52.0982,36373209,36373209,-0.767543,-1.452,52.2155,"Dec 9, 15",1.0665114415704442
2015-12-10,52.4867,52.7378,52.1266,52.373,31775826,31775826,0.2748,0.527,52.4244,"Dec 10, 15",1.077411575243845
2015-12-11,51.8423,52.2119,51.179,51.2264,39549497,39549497,-1.1466,-2.189,51.5982,"Dec 11, 15",1.0319308864886734
2015-12-14,51.4822,52.3161,50.8663,52.2498,47006491,47006491,1.0234,1.998,51.6049,"Dec 14, 15",1.0725247613116653
2015-12-15,52.7425,52.9699,52.2024,52.3066,39842998,39842998,0.056855,0.109,52.5582,"Dec 15, 15",1.0747777729297483
2015-12-16,52.6288,53.2969,51.8897,53.1879,37503300,37503300,0.881253,1.685,52.6952,"Dec 16, 15",1.1097351521377827
2015-12-17,53.4058,53.8133,52.6239,52.7804,41280907,41280907,-0.40746,-0.766,53.1723,"Dec 17, 15",1.0935713804059388
2015-12-18,52.8468,53.0647,51.198,51.2927,84684164,84684164,-1.4877,-2.819,51.9754,"Dec 18, 15",1.0345607222330202
2015-12-21,52.0034,52.4488,51.3839,51.956,37246325,37246325,0.663312,1.293,51.8093,"Dec 21, 15",1.0608709793857372
2015-12-22,52.1076,52.572,51.6433,52.4488,28322241,28322241,0.492744,0.948,52.1762,"Dec 22, 15",1.0804182351144553
2015-12-23,52.7804,52.951,52.5341,52.8941,27279832,27279832,0.445363,0.849,52.7878,"Dec 23, 15",1.0980813702118546
2015-12-24,52.932,53.0268,52.5246,52.752,9570002,9570002,-0.142137,-0.269,52.7962,"Dec 24, 15",1.0924448745968975
2015-12-28,52.4488,53.0173,52.0982,53.0173,22458293,22458293,0.265323,0.503,52.6275,"Dec 28, 15",1.1029681841440342
2015-12-29,53.3395,53.8701,53.1216,53.5859,27731403,27731403,0.568551,1.072,53.5646,"Dec 29, 15",1.125522099743363
2015-12-30,53.5101,53.8038,53.3371,53.3585,21704505,21704505,-0.227421,-0.424,53.5629,"Dec 30, 15",1.1165021201315315
2015-12-31,53.1026,53.2447,52.5151,52.572,27334061,27334061,-0.786494,-1.474,52.7948,"Dec 31, 15",1.0853050490466352
2016-01-04,51.4728,51.9276,50.5915,51.9276,53777963,53777963,-0.644357,-1.226,51.249,"Jan 4, 16",1.0597444735766957
2016-01-05,52.0508,52.4867,51.6812,52.1645,34079674,34079674,0.236896,0.456,52.1593,"Jan 5, 16",1.0691412773147908
2016-01-06,51.4728,51.5487,50.8284,51.2169,39518863,39518863,-0.947585,-1.817,51.2672,"Jan 6, 16",1.0315540623624098
2016-01-07,49.9377,50.6815,49.3407,49.4355,56564852,56564852,-1.7815,-3.478,49.8619,"Jan 7, 16",0.9608935888333128
2016-01-08,49.625,50.4873,49.4165,49.5871,48753969,48753969,0.151611,0.307,49.9617,"Jan 8, 16",0.9669069085745339
2016-01-11,49.7576,50.0798,48.7627,49.5586,36943756,36943756,-0.028427,-0.057,49.4277,"Jan 11, 16",0.9657764361957423
2016-01-12,49.9945,50.3167,49.3312,50.0135,36095539,36095539,0.454841,0.918,49.8558,"Jan 12, 16",0.9838203619891555
2016-01-13,50.98,51.2359,48.6147,48.9332,66883571,66883571,-1.0802,-2.16,50.0198,"Jan 13, 16",0.9409695089783306
2016-01-14,49.2744,50.6164,48.8669,50.3262,52381918,52381918,1.3929,2.847,49.9022,"Jan 14, 16",0.9962238255978613
2016-01-15,48.6205,49.2459,47.7014,48.3173,71820697,71820697,-2.0089,-3.992,48.3748,"Jan 15, 16",0.916539405887183
2016-01-19,48.7816,48.9711,47.4361,47.9098,43564538,43564538,-0.40746,-0.843,48.0723,"Jan 19, 16",0.9003756341553387
2016-01-20,47.3602,48.6869,46.5264,48.1278,63272993,63272993,0.217943,0.455,47.5875,"Jan 20, 16",0.9090227562106566
2016-01-21,48.3268,48.8764,47.6635,47.834,40191157,40191157,-0.293749,-0.61,48.2405,"Jan 21, 16",0.8973689742847285
2016-01-22,48.7153,49.5871,48.5732,49.5492,37555789,37555789,1.7151,3.586,49.328,"Jan 22, 16",0.9654035786392287
2016-01-25,49.2175,49.8903,48.9427,49.0754,34707717,34707717,-0.473793,-0.956,49.369,"Jan 25, 16",0.946609971163038
2016-01-26,49.0754,49.6913,48.848,49.4355,28900820,28900820,0.360083,0.734,49.39,"Jan 26, 16",0.9608935888333128
2016-01-27,49.2838,49.4639,48.3458,48.5352,36775194,36775194,-0.900206,-1.821,48.8824,"Jan 27, 16",0.9251825613727507
2016-01-28,49.1417,49.4734,48.5637,49.3265,62513789,62513789,0.791234,1.63,49.1125,"Jan 28, 16",0.9565700278056541
2016-01-29,51.8613,52.2024,51.1695,52.2024,83611686,83611686,2.8759,5.83,51.883,"Jan 29, 16",1.0706446072500961
2016-02-01,52.0034,52.2024,51.6386,51.8423,44208542,44208542,-0.360081,-0.69,51.9109,"Feb 1, 16",1.0563609895798214
2016-02-02,51.3306,51.4159,49.8903,50.2219,56313753,56313753,-1.6204,-3.126,50.6165,"Feb 2, 16",0.9920866933484591
2016-02-03,50.4588,50.5915,48.5732,49.426,57559814,57559814,-0.79597,-1.585,49.4471,"Feb 3, 16",0.9605167647070492
2016-02-04,49.3691,50.0419,48.6774,49.2744,46987123,46987123,-0.151614,-0.307,49.215,"Feb 4, 16",0.9545034449658281
2016-02-05,49.2175,49.2744,46.9623,47.5308,62008994,62008994,-1.7436,-3.538,47.7994,"Feb 5, 16",0.8853423348022864
2016-02-08,46.9528,46.9717,45.6641,46.8201,59290497,59290497,-0.710689,-1.495,46.2829,"Feb 8, 16",0.8571519235880003
2016-02-09,46.4506,47.6066,46.1189,46.6969,46740474,46740474,-0.123187,-0.263,46.8385,"Feb 9, 16",0.8522651096558208
2016-02-10,47.275,47.7488,46.9244,47.1044,38236954,38236954,0.407462,0.873,47.394,"Feb 10, 16",0.8684288813876647
2016-02-11,46.1284,47.4834,45.9673,47.0854,48878571,48878571,-0.01895,-0.04,46.7498,"Feb 11, 16",0.8676752331351372
2016-02-12,47.6161,48.0236,47.1423,47.853,34243324,34243324,0.767543,1.63,47.6506,"Feb 12, 16",0.8981226225372562
2016-02-16,48.5783,48.7597,47.8435,48.7597,37291208,37291208,0.906682,1.895,48.5014,"Feb 16, 16",0.9340875104618279
